Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/29/2021,05/31/2021,MEIJER # 182,Groceries,Sale,-15.58,
05/30/2021,05/31/2021,BLUE GOOSE SUPERMAR,Groceries,Sale,-108.97,
05/30/2021,05/31/2021,LOWES #01738*,Home,Sale,-9.48,
05/30/2021,05/31/2021,7-ELEVEN 33850,Gas,Sale,-8.63,
05/29/2021,05/30/2021,DD/BR #352499,Food & Drink,Sale,-9.15,
05/29/2021,05/30/2021,Amazon.com*2R2898HJ2,Shopping,Sale,-36.84,
05/28/2021,05/30/2021,MEIJER # 182,Groceries,Sale,-18.54,
05/25/2021,05/27/2021,Kindle Unltd*2R0MP37J1,Shopping,Sale,-9.99,
05/24/2021,05/26/2021,MEIJER # 182,Groceries,Sale,-68.73,
05/26/2021,05/26/2021,SPRINT *WIRELESS,Bills & Utilities,Sale,-173.54,
05/23/2021,05/24/2021,Amazon.com*2R7LJ5ZL2,Shopping,Sale,-68.86,
05/23/2021,05/24/2021,Audible*2R0SS94N2,Bills & Utilities,Sale,-14.95,
05/22/2021,05/24/2021,MEIJER # 182,Groceries,Sale,-183.16,
05/21/2021,05/23/2021,ANGELO CAPUTO'S FRE,Groceries,Sale,-79.22,
05/19/2021,05/21/2021,MEIJER # 182,Groceries,Sale,-43.68,
05/18/2021,05/20/2021,MEIJER # 182,Groceries,Sale,-6.04,
05/18/2021,05/20/2021,MEIJER # 182,Groceries,Sale,-30.47,
05/16/2021,05/17/2021,AMZN Mktp US*2L7C74602,Shopping,Sale,-26.66,
05/15/2021,05/17/2021,MEIJER # 182,Groceries,Sale,-102.04,
05/16/2021,05/17/2021,AMZN Mktp US*2L1Z397E0,Shopping,Sale,-9.06,
05/15/2021,05/17/2021,MEIJER # 182,Groceries,Sale,-121.86,
05/13/2021,05/16/2021,MEIJER # 182,Groceries,Sale,-120.29,
05/14/2021,05/16/2021,AMZN Mktp US*2L5ZI1600,Shopping,Sale,-7.54,
05/14/2021,05/16/2021,AMZN Mktp US*2R49Z1CT1,Shopping,Sale,-6.47,
05/15/2021,05/16/2021,CITY OF ST. CHARLES,Bills & Utilities,Sale,-292.33,
05/13/2021,05/14/2021,Amazon.com*2L6GX3V12,Shopping,Sale,-48.75,
05/13/2021,05/14/2021,AMZN Mktp US*2L1RI88C0,Shopping,Sale,-73.24,
05/12/2021,05/13/2021,THE FRESH MARKET 059,Groceries,Sale,-59.96,
05/11/2021,05/13/2021,MEIJER # 182,Groceries,Sale,-5.39,
05/11/2021,05/13/2021,ST PATRICK CHURCH,Gifts & Donations,Sale,-40.00,
05/09/2021,05/11/2021,MEIJER # 182,Groceries,Sale,-11.06,
05/08/2021,05/10/2021,MEIJER # 182,Groceries,Sale,-157.36,
05/08/2021,05/10/2021,FRANKYS RED HOTS,Food & Drink,Sale,-21.55,
05/07/2021,05/09/2021,MEIJER # 182,Groceries,Sale,-3.78,
05/06/2021,05/09/2021,GOOGLE*GOOGLE STORAGE,Professional Services,Sale,-1.99,
05/07/2021,05/09/2021,CHIPOTLE 3849,Food & Drink,Sale,-24.73,
05/08/2021,05/09/2021,LOWES #01738*,Home,Sale,-81.39,
05/07/2021,05/07/2021,AUTOMATIC PAYMENT - THANK,,Payment,3432.77,
05/02/2021,05/03/2021,WALGREENS #6795,Health & Wellness,Sale,-10.80,
05/02/2021,05/03/2021,ICP*Goldfish Swim School,Education,Sale,-180.00,
04/27/2021,04/28/2021,AMZN Mktp US*T93PA8C53,Shopping,Sale,-48.60,
04/25/2021,04/27/2021,MEIJER # 182,Groceries,Sale,-2.02,
04/25/2021,04/26/2021,Kindle Unltd*TD1WE2203,Shopping,Sale,-9.99,
04/26/2021,04/26/2021,SPRINT *WIRELESS,Bills & Utilities,Sale,-173.54,
04/23/2021,04/25/2021,MEIJER # 182,Groceries,Sale,-105.08,
04/24/2021,04/25/2021,ANGELO CAPUTO'S FRE,Groceries,Sale,-33.49,
04/23/2021,04/25/2021,Audible*AH9NN7M13,Bills & Utilities,Sale,-14.95,
